date,city,race_no,horse_name,actual_rank,ganyan,model_score,is_winner,momentum_5,combo_win_rate,track_win_rate,quantum_chaos,galop_count,galop_speed,hp,weight
18/01/2026,İzmir,1,POR TI VOLARE,0,0.0,0.09678251633890221,0,1.0,0.0,0.0,0.8,0,0.0,0,58.0
18/01/2026,İzmir,1,HOLY,1,4.45,0.4661806586283385,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,56.0
18/01/2026,İzmir,1,HAŞARI,2,5.4,0.09290361137913285,0,0.8,0.0,0.0,0.44,0,0.0,0,0.0
18/01/2026,İzmir,1,LUNA DEL CUORE,3,7.8,0.10456371964247524,0,0.7,0.0,0.0,0.26,0,0.0,0,0.0
18/01/2026,İzmir,1,JAPONCAN,4,2.8,0.12467812582939186,0,0.6,0.0,0.0,0.08,0,0.0,0,58.0
18/01/2026,İzmir,1,KHAN OF THE FOREST,5,2.45,0.09631582957098926,0,0.5,0.0,0.0,0.9,0,0.0,0,58.0
18/01/2026,İzmir,1,CHILEAN BRIDE,6,6.85,0.08892750991267166,0,0.4,0.0,0.0,0.72,0,0.0,0,56.0
18/01/2026,İzmir,1,CALL TO WARRIOR,7,7.55,0.07149893515585991,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,1,KARPATINO,8,6.85,0.08858567032247193,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,1,POR TI VOLARE,0,0.0,0.09678251633890221,0,1.0,0.0,0.0,0.8,0,0.0,0,58.0
18/01/2026,İzmir,1,HOLY,1,4.45,0.4661806586283385,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,56.0
18/01/2026,İzmir,1,HAŞARI,2,5.4,0.09290361137913285,0,0.8,0.0,0.0,0.44,0,0.0,0,0.0
18/01/2026,İzmir,1,LUNA DEL CUORE,3,7.8,0.10456371964247524,0,0.7,0.0,0.0,0.26,0,0.0,0,0.0
18/01/2026,İzmir,1,JAPONCAN,4,2.8,0.12467812582939186,0,0.6,0.0,0.0,0.08,0,0.0,0,58.0
18/01/2026,İzmir,1,KHAN OF THE FOREST,5,2.45,0.09631582957098926,0,0.5,0.0,0.0,0.9,0,0.0,0,58.0
18/01/2026,İzmir,1,CHILEAN BRIDE,6,6.85,0.08892750991267166,0,0.4,0.0,0.0,0.72,0,0.0,0,56.0
18/01/2026,İzmir,1,CALL TO WARRIOR,7,7.55,0.07149893515585991,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,1,KARPATINO,8,6.85,0.08858567032247193,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,1,POR TI VOLARE,0,0.0,0.09678251633890221,0,1.0,0.0,0.0,0.8,0,0.0,0,58.0
18/01/2026,İzmir,1,HOLY,1,4.45,0.4661806586283385,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,56.0
18/01/2026,İzmir,1,HAŞARI,2,5.4,0.09290361137913285,0,0.8,0.0,0.0,0.44,0,0.0,0,0.0
18/01/2026,İzmir,1,LUNA DEL CUORE,3,7.8,0.10456371964247524,0,0.7,0.0,0.0,0.26,0,0.0,0,0.0
18/01/2026,İzmir,1,JAPONCAN,4,2.8,0.12467812582939186,0,0.6,0.0,0.0,0.08,0,0.0,0,58.0
18/01/2026,İzmir,1,KHAN OF THE FOREST,5,2.45,0.09631582957098926,0,0.5,0.0,0.0,0.9,0,0.0,0,58.0
18/01/2026,İzmir,1,CHILEAN BRIDE,6,6.85,0.08892750991267166,0,0.4,0.0,0.0,0.72,0,0.0,0,56.0
18/01/2026,İzmir,1,CALL TO WARRIOR,7,7.55,0.07149893515585991,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,1,KARPATINO,8,6.85,0.08858567032247193,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,1,POR TI VOLARE,0,0.0,0.09678251633890221,0,1.0,0.0,0.0,0.8,0,0.0,0,58.0
18/01/2026,İzmir,1,HOLY,1,4.45,0.4661806586283385,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,56.0
18/01/2026,İzmir,1,HAŞARI,2,5.4,0.09290361137913285,0,0.8,0.0,0.0,0.44,0,0.0,0,0.0
